timestamp,text,translated_text
7:12,"He's done. He's out of here. David. He fought under pressure. So easy. Get that nigga dick out your mouth, bro",저 새끼 좆됐음! 압박 들어가니까 바로 나락! 존나 쉽네. 걔 후빨 뇌절 좀 그만해 브로
7:16,"Holy shit. Get the fuck out of here, bro. Yo, bro. Yo",와 시발 진짜 말이 안 됨! 꺼지라고 브로 야!
7:23,"Yes, he wants to be my man's bro. This is serious. I'm your man",ㅇㅇ 내 친구 되고 싶다잖아 브로 진지한 상황임 내가 네 편 해줄게
7:33,Why are you so scared,왜 이렇게 쫄아있냐 ㄹㅇ
7:58,"Yeah, GG's bro, holy bro, no, no, no, no, no, no, you got to understand chat. We have power to bro. No, I don't know",채팅창아 ㅈ됐다 브로 잘 들어봐 우리도 영향력 존나 크다고!
8:05,"No, I'm telling my mom that",아니 엄마한테 이르고야 말겠음
8:23,Can't you just curse me out,그냥 욕이나 실컷 해주면 안 되냐고
8:35,"Look what he said, bro",브로 걔가 뭐라 씨부렸는지 봐봐
8:45,I'm about to show you my,보여줄게 잠깐
8:48,"Okay, because I like north west that's what I'm saying. I don't mean I thought I thought I was cool, too",ㅇㅇ North West 좋아하거든 그 말이야 나도 내가 좀 치는 줄 알았지 시발
9:06,"No, I know I like Kanye I like Kanye he my outro falling dreaming talking that's my outro",아니 나 Kanye 팬이라고 Falling Dreaming이 내 아웃트로임
9:24,"T. Up, bro, it's us against the world right now",집중해 브로! 지금 우리 대 세상 구도임
9:31,"Bro, cuz okay, so he sent me some he sent me some um some clothes, right",브로 그니까 걔가 나한테 옷을 보낸 거거든
9:38,"But it was too big so I was like the pants is too big, right?",근데 바지가 존나 커서 너무 크다고 했잖음
9:44,Then he said don't make no jokes about my clothes when you ain't saying nothing about what Adidas is doing when Vulture saw,그랬더니 Adidas 건엔 말도 못 하면서 내 옷 가지고 농담하지 말랬잖아 어이없어
9:59,You the only person I'd be saying don't play with me to me so like hearing that from somebody else is crazy,나한테 그런 소리 할 사람이 니가 유일한데 다른 사람한테서 들으니까 개신기하네
12:06,"Bro, he said when Vulture song came out you didn't play my verse. Okay, so that's look that's the main key when Vulture song came out",브로 Vultures 나왔을 때 내 벌스 안 틀었다고 했잖아 이게 핵심이라고
16:19,"Wait, was that right? No, let me see what the fuck he's talking about, bro, cuz",잠깐 맞냐? 아니 걔가 무슨 헛소리 하는 건지 확인해봐야겠음 브로
17:29,I said what the fuck I do he sent this,내가 뭘 했다고 이딴 걸 보냈냐고
17:38,Guys and that said yay sent him the wrong size,걔네 말로는 Yeezy가 사이즈 잘못 보냈다잖음
17:48,"Yeah, bro, it's a bro. I think he's like bro. Okay, first of all",ㅇㅇ 브로 걔가 그런 것 같음 일단 첫 번째로
17:56,Brother you gotta you gotta always set it up like that,형 이런 상황은 항상 미리 세팅해놔야 한다고
20:00,Why was there a random number call me right now,지금 모르는 번호가 왜 전화를 하는 거야
20:25,I think I'm checks over strikes. It's over you talking about,나는 체크 > 스트라이크임 ㄹㅇ 그 얘기 하는 거잖아
20:32,I'm checks over strikes from so nice,체크 오버 스트라이크 폼 미쳤음
20:40,You ain't saying nothing about Adidas like oh gosh,Adidas 건엔 아무 말도 못 하면서 어이없네 진짜
20:43,But you making jokes about my after these people try to destroy it was no joke. There was no joke,근데 이 사람들이 망하게 하려 했던 내 거에 농담? 농담 없었음 찐텐으로
21:01,"It's good. I like this conversation. Yeah, I think he likes my vulgarness. You know that. Yeah, I think he likes my vault",ㄹㅇ 좋음 이 대화 마음에 드는데 걔가 내 독한 면을 좋아하는 것 같음
21:06,I think he likes my fight back like,내가 맞받아치는 거 걔가 좋아하는 듯
21:22,I hear you man. I hear you,ㅇㅇ 무슨 말인지 알겠음
21:32,"Yo, I didn't mean to send I didn't just mean to oh my god, okay",야 그렇게 보낼 의도 아니었는데 씨발 ㅇㅋ
21:41,I hear you I wanna text in his phone. How do I do that?,걔 폰에 문자 박아 넣고 싶은데 어떻게 하냐
21:52,But ain't no jokes was being said talk to me. God,농담 단 한 마디도 없었다고 ㄹㅇ루다가 말해봐
22:34,Mommy folding that might be folding that might be folding. I might be folding. There we go,잠깐 이거 나 접는 건가? 접는 건가?? 나 지금 폴딩하는 거임??
22:41,"I hear you bro, but ain't no jokes being made",브로 알겠는데 농담 한 마디도 없었다고 진짜
22:49,And it didn't fit no jokes made I immediately asked for a new pair,안 맞은 거야 농담 없었음 바로 교환 요청함
22:55,"That's good right there chat you gotta tell him you got to understand, bro",채팅창아 저거 좋잖아 걔한테 말해줘 이해시켜야 함 브로
22:58,"And I want you to learn something, bro",브로 하나 배워가야 할 게 있음
23:03,And as a pioneer with this streaming as a as somebody who pioneers of the streaming and is one of the biggest,"스트리밍 판 개척한 사람으로서, 이 게임에서 탑급 중 하나로서 하는 말임"
23:08,"I also have to stand on business, okay?",나도 내 가오는 살려야지 ㅇㅋ?
23:15,It has a lot of motion right now. I want you guys to understand something bro,지금 폼 진짜 지림 채팅창아 이거 이해해줘야 한다고
23:20,We are massive as well,우리도 존나 크다고 ㄹㅇ
23:26,"Yeah, it's massive. Don't give me wrong",ㅇㅇ 그쪽도 엄청 크지 오해하지 마셈
23:29,"Yeah, it's massive, but we also got motion too, bro. That's fire",ㅇㅇ 그쪽도 크지 근데 우리도 영향력 지린다고 브로 ㄹㅇ 불붙었음
23:34,"I'm not sure that's fire, but he probably likes when like he just probably just having a conversation, bro",확신은 없는데 뭔가 불붙은 것 같음 걔도 그냥 대화하고 싶었던 거겠지
23:40,I got a couple back. That's it. He replied he replied,답장 몇 개 왔음 걔 답장했다 ㄹㅇ!
23:44,"So you ain't doing nothing wrong, so I felt this way for no reason",니가 잘못한 거 없잖아 내가 괜히 멘탈 흔들렸던 거네
24:18:00,That would have been the greatest yo that would have been the greatest well all first dream ever,그거였으면 찐텐 역대급 스트리밍이었는데 첫 방 중에 최고였을 거임
24:36:00,I want to ask him right why not fuck you. Let's stream,걔한테 물어보고 싶음 씨발 같이 방송 하자고 ㄹㅇ
24:50:00,Oh my god. Oh my god. Fuck you nigga. You was you was told to diss my shit. You were upon,와 시발!! 이 새끼 내 거 디스하라고 지시받은 거잖아 실화냐
25:01:00,"This is not real life, bro. Are you is he that ass?",이게 현실임? 브로 걔 그 정도 뇌절이야?
25:25:00,"Hey, go back your fuck boy. I'm yo listen me. Yeah, I'm a crack head, bro. I'm a little bro",야 꺼져 이 찐따야! 들어봐 나 진짜 맛간 놈이야 브로
25:57:00,"This guy's a funny dude though. Hey, he's a funny fucking dude. Hey, my he's calling me. He's calling me",ㅋㅋ 이 새끼 존나 웃기는 놈이네 야 걔 전화 온다!
26:36:00,We could find a peaceful resolution,그냥 서먹한 사이부터 풀어야 할 듯
27:08:00,That's when things can go left and I want to keep things center,그때 일이 꼬이는 거고 난 중심 잡고 싶음
27:35:00,What am I for my pants on just came out. I'm just saying like my um,방금 나온 바지인데 뭘 어쩌라는 거야 그냥 한마디 한 거잖음
27:40:00,You feeling like I could I could whatever he want to do we could resolve it. I don't care,걔가 원하는 거 뭐든 해결하면 됨 상관없음
27:45:00,"Um, just due to the fact that like I was I had no disrespect you feel me and I just feel like",무례할 생각 없었거든 ㄹㅇ 그냥 내 기분이 그랬던 거야
27:50:00,"Um, wait we was going back and forth on was a little was a little crazy",잠깐 우리 계속 왔다갔다 한 거 좀 미쳤었잖아
27:57:00,"Yeah, so so so um you don't um how can I how how can you go out moving forward with this",그니까 앞으로 이 상황 어떻게 풀어나가냐고
28:04:00,"Um, I think we just need to develop a relationship",그냥 서먹한 거부터 풀면서 관계 만들어가야 할 듯
31:06:00,Not yet chat say energy you feel me chat,아직 채팅창아! 에너지 있냐 느껴지냐고!
2:11,"Oh my god. Oh my chat. Oh my life. I just found diamond. Oh my life. I just found diamond. Oh my life. I just found them. Yes, oh my life. I just found diamond",와 시발!!! 채팅창아!!! 다이아 찾았다고!!! ㄹㅇ 내 인생 미쳤다!!!
5:20,"Work of us had. We never had that much loot, bro.",이 정도 루트 가져본 적 없었잖아 우리가 해낸 거임 브로
9:28,"We got some cold watermelon nice and fresh, and we got a whole",차가운 수박 존나 신선한 거 통으로 가져왔음
14:52,"You've been nailed, dude",너 완전 찍혔다 ㄹㅇ
14:57,"That was a mess, bro",그거 존나 엉망이었음 브로 진짜
15:19,"I don't think I ever never ever smoked you, I've never smoked like that a day in my life.",너한테 이렇게 발린 적 없었는데 인생에서 처음임 ㄹㅇ
15:48,Where did my sword go?,내 검 어디 갔냐고!!
16:01,All my loot down the drain.,루트 다 증발했음 ㅈ됨
16:20,"God, I don't think I want to do this anymore.",씨발 이거 진짜 더 하기 싫음
16:55,Why is he so slow?,왜 이렇게 느려터진 거야
19:48,Dugout like what is right even like like what is he even doing like look at this,더그아웃 뭐가 맞냐고 걔 뭐 하는 거야 이거 봐봐
19:54,What is that like what is he hanging out with what is he on the guard doesn't even look to our knees anymore,저게 뭐야 걔 가드도 안 보고 뭐랑 어울리는 거야
20:02,Who is this thing and it looks black God that's what you did man. It's what you did man. You created that,저게 뭐야 검은색이잖아 씨발 네가 만든 거잖아 ㄹㅇ
20:18,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, I'm getting hit from the behind don't die don't die don't die",아!! 뒤에서 맞고 있잖아!! 죽지 마!! 죽지 마!!
22:00,"I thought it was four blocks, okay, that's my fault. I thought it was the four. I tried to do the four block method",4블록인 줄 알았음 내 잘못 인정 4블록 시도하려다가
23:14,I thought I had something going on.,뭔가 잘 흘러가고 있다고 생각했는데
23:46,"I gotta do one more time, bro.",한 번만 더 해야겠음 브로
24:24:00,"Shut the fuck up, bro.",닥쳐 브로 ㄹㅇ
24:30:00,I've been up for 31 hours and I've been yelling because of your-,31시간째 안 잤고 너 때문에 소리 질러대고 있잖아
25:35:00,You don't think it closed to you.,니 입장에선 끝난 거 아니라고 생각함?
25:39:00,I just don't have one star and 99 fans.,별 하나에 팬 99명도 없는 주제에
25:41:00,What did you think of Evan Burden's meat reveal?,Evan Burden 몸 공개 어땠음?
28:14:00,"This red job, no, no, no, Kai, Kai, Kai, what do you, oh my god, don't tell me that.",이 빨간 거 아니 아니!! 카이야!! 뭐 하는 거야 씨발 설마!!
28:53:00,"You serious, bro? Come on, bro.",진짜야 브로? 야 진짜로?
29:00:00,"Come on, bro. What would you do that?",야 브로 아니 왜 그딴 짓을 하냐고
29:04:00,Why would you do that? Why would you do that?,왜 그딴 짓을 한 거야 뇌절 좀 제발
29:32:00,There was no reason. No reason.,이유가 없잖아 ㄹㅇ 그냥 한 거야?
29:48:00,What the f**k is wrong with this dumbass what would I do is with you oh my god,이 찐따 새끼 뭐가 문제야 씨발 너랑 있으면 뭐가 남냐
30:17:00,Oh my oh my I'm horny I'm horny I'm horny I'm horny I'm oh my god oh my god,아 씨발 욕구 차오름!!! 아 진짜!!!
30:30:00,This diamond is all up in my a bro. Oh my god. He's diamonds,다이아 존나 쏟아지는 중!! 씨발!! 다이아 확정이야!!
31:08:00,I just got one tattooed by baby,방금 타투 받았음 베이비한테
31:21:00,"Fuck up right now. Look. Yes, everybody listen. Yes. Yes. Everybody just sum up. Yes",다 집중해!! 봐봐!! 정리해줌!!
0:03,Hold on we not we're not we're not listening to nothing under the influence,잠깐 취한 상태에서는 절대 듣지 말자
0:07,We're gonna listen to it under the influence right after okay?,바로 취해서 들을 거임 ㅇㅋ?
0:10,Let me tell you a story time or how my dumbass went to New York and and feel so left out right so boom first things first,내가 얼마나 바보같이 뉴욕 갔다가 소외감 처맞았는지 스토리타임 해줄게 일단 들어봐
0:17,Chat the spies was been happening in the past few weeks. I didn't like I didn't want to go out to no clubs or nothing,채팅창아 최근 몇 주 동안 일 있었잖음 클럽 같은 데 존나 나가기 싫었음
0:22,Truthfully I told all my friends. I said y'all don't want to go out no way. I don't want to be around no no certain type of,솔직히 친구들한테 다 말했음 나가기 싫고 특정 사람들 주변에 있기 싫다고
0:27,"None of that right, but I say you know what? I don't know bro. It's my man Ty little birthday. You feel what I'm saying",그런 거 다 싫었는데 Ty 생일이잖음 무슨 말인지 알지
0:32,I said I don't know when the fuck anything happened this year. I could feel bad you feel me,올해 도대체 언제 뭔 일이 있었는지도 모르겠음 기분 나쁜 거 팩트
0:35,I'm like know what let me go celebrate with my man Ty little you feel me we I did it,에라 모르겠다 Ty 생일 챙겨줘야지 갔다 왔음
0:39,We went to the club we turned the fuck up the fucking movie you feel what I'm saying happy birthday to Ty little you feel what,클럽 가서 존나 뒤집었음! 개쩌는 밤이었다고! Ty 생일 축하야!
0:50,"I was gonna stay home, but I'm like you know what let me go. Let me go turn up. It was good seeing my friends and all that",집에 있을까 했는데 에이 그냥 나가서 놀자 친구들 보니까 좋더라
1:04,"I guess Kendrick dropped Kendrick dropped, right? And I'm like fuck I can't as it to this until I until I'm back, right?",근데 Kendrick 드랍했잖음 씨발 집에 갈 때까지 못 듣겠네
1:10,I already know that I want to stay here for extra day,하루 더 있고 싶었음 ㄹㅇ
1:22,"I yesterday you should have seen my face chat. You should have seen my face, bro",어제 내 표정 봤어야 했는데 채팅창아 ㄹㅇ
1:26,"I recorded on my snap. I'm doing what I'm supposed to do behind the scenes, right?",스냅에 녹화했음 뒤에서 해야 할 거 다 하는 중이었는데
1:31,"I'm pinning out right behind the scenes. I'm working. I'm so occupied. I'm making sure my line is off here, right?",뒤에서 열일 중이었음 존나 바빴고 라인 체크하는 중이었다고
1:37,Gang I fall asleep. I was so tired yesterday. I found a sleep for,일행아 어제 존나 피곤해서 잠깐 기절했음
1:46,"To the response whatever the fuck thing. So now I'm too soft behind gang. I'm panicking, bro",그 반응이든 뭐든 이제 뒤처지는 거잖아 패닉 옴 브로
1:51,"I'm panicking, bro. Literally it was so serious gang. This phantom sent me a voice note saying",브로 진짜 패닉 왔음! 심각했어 팬텀이 보이스노트 보내서
1:59,"Yo, this is Kendrick. The song that he just dropped. I stopped it",야 이거 Kendrick 방금 드랍한 거야 바로 껐음
2:03,Pause it. I texted myself. You're wrong. I can't even see your second voice now because I don't want it to spoil,멈춰 나한테 문자 보냈음 니가 틀렸어 스포 당하기 싫어서 두 번째 목소리도 안 들음
2:08,I don't want to spoil shit. Look at my chat. I'm three days behind look. Let me show y'all gang,스포 절대 ㄴㄴ 채팅창 봐봐 나 3일 뒤처진 거야 보여줄게
4:56,"Bitch, I'm not the bible of God watching.",씨발 나 하나님 성경 아니라고
6:30,Then get his face tatted like a b*****.,그러면 걔 얼굴에 타투 박아라 이 새끼야
7:52,"help you get your lingo up, but I'm 21, get your far street credit, build me to feel like",말투 업그레이드 도와줄 수는 있는데 나 21살이야 거리 신뢰도부터 쌓아라
10:11,"don't know. I'm sorry. I'm sorry, bro. I did not mean to do that. I'm not going to lie.",모르겠음 미안 브로 진짜 그럴 의도 아니었음 내 목 건다
16:58,"run for your life. Hey, hey, hey, hey, run for your life. Say OV home.",도망쳐!! 야야야!! 뛰어!! OV 집으로!!
0:00,Rizz,섹기 / 꼬시는 폼 / 플러팅 실력
0:00,Gyatt,오우쒯 (몸매 감탄사) / 지렸다 ㄹㅇ
0:00,Fanum tax,한입만 / 음식 삥뜯기 / 세금 떼기
0:00,W,지렸다 / 개나이스 / 캐리 / 승리
0:00,L,나락 / ㄲㅂ / 패배 / 좆됨
0:00,No cap,구라 / ㄹㅇ루다가 (진심임)
0:00,Deadass,ㄹㅇ루다가 / 찐텐임 / 내 목 건다
0:00,On god,진짜임 / 신께 맹세함 / ㄹㅇ 팩트
0:00,Say Wallahee,진짜라고 말해봐 / 신께 맹세함? / 구라 아니지?
0:00,Glazing,작당히 빨아라 / 후빨 뇌절 ㄴㄴ / 아부 지리네
0:00,Cooked,좆됨 / 나락 / 망함 / 요리당함
0:00,Motion,폼 미쳤다 / 잘나감 / 영향력 지림 / 돈 냄새
0:00,Valid,합격 / 상태 좋네 / 좀 치는데 / 인정
0:00,Crashed out,눈 돌아감 / 이성 잃음 / 대형 사고 침
0:00,Bugging,뇌절 / 오버하네 / 제정신 아님
0:00,Tweaking,맛탱이 감 / 정줄 놓음 / 헛소리함
0:00,Aura,포스 / 아우라 / 짬바 / 간지
0:00,Sigma,상남자 / 시그마 / 존멋
0:00,Delulu,망상 / 대가리 꽃밭 / 꿈 깨라
0:00,Pookie,내 새끼 / 귀요미 (장난식)
0:00,Sus,수상함 / 냄새 나는데 / 게이 같음
0:00,Opps,적들 / 경쟁자 / 적대 세력
0:00,Slide,쳐들어가다 / 차 타고 순찰 돌다 / 담구러 가다
0:00,Backdoor,뒤통수 / 통수 치다 / 뒤에서 작업하다
0:00,Word to my mother,엄마 걸고 진짜임 / 내 말이 팩트임
0:00,Chat is this real,채팅창아 이거 실화냐?
0:00,Stand on business,가오 살리다 / 할 일은 한다 / 비즈니스 지킴
0:00,Let him cook,걔 하는 거 지켜봐라 / 폼 올라오게 냅둬봐
0:00,Lock in,집중해 / 빡겜 가자 / 몰입함
0:00,Yapping,지껄임 / 혓바닥 기네 / 헛소리 뇌절
0:00,Geeking,신남 / 흥분함 / 약 빤 거 아님?
0:00,Pause,잠깐 (게이 같은 분위기 끊기) / 멈춰봐
0:00,Clout chasing,관종 짓 / 인지도 얻으려고 용씀
0:00,Ratio,답글 화력으로 눌러버리기 / 개처발림
0:00,Yessir,무조건이지 / 오예 / 가즈아
0:00,Vibe,분위기 / 느낌 / 갬성
0:00,Lurk,눈팅 / 잠복 중
0:00,Type shit,그런 느낌 / 그렇지 / ㄹㅇ 팩트 (동의)
0:00,Fr fr,진짜 진짜로 / ㄹㅇ루다가
0:00,Finna,~하려고 함 / ~하고 싶음
0:00,Dayroom,눈치 없음 / 민폐 / 갑분싸
0:00,Brick,존나 추움 / 존나 먼 거리
0:00,Caught a stray,억까 당함 / 눈먼 총 맞음
0:00,I'm dead,웃겨 뒤짐 ㅋㅋㅋ / 아 ㅈㄴ 웃기네
0:00,Stop playing,장난치지 마 / 적당히 해라 (진지)
0:00,Main character,주인공 병 / 주인공 포스
0:00,Banter,티격태격 / 말장난 / 티키타카
0:00,Clout,인지도 / 권력 / 빨대
0:00,Banned,나락 / 밴 당함 / 영정
